id,name
10770,TV Movie
10402,Music
10769,Foreign
878,Science Fiction
36,History
16,Animation
35,Comedy
99,Documentary
28,Action
37,Western
10751,Family
14,Fantasy
80,Crime
18,Drama
10749,Romance
10752,War
9648,Mystery
27,Horror
12,Adventure
53,Thriller
