movie_id,production_country_id
8844,US
31357,US
11862,US
949,US
45325,US
9091,US
710,GB
710,US
9087,US
12110,FR
12110,US
21032,US
10858,US
1408,FR
1408,DE
1408,IT
1408,US
524,FR
524,US
4584,GB
4584,US
5,US
9273,US
11517,US
8012,US
1710,US
22832,DE
22832,US
12665,US
451,US
9263,US
17015,GB
17015,FR
902,FR
902,DE
902,ES
37557,CN
37557,FR
9909,US
63,US
78802,FR
78802,US
47018,FR
47018,GB
687,US
687,GB
139405,US
33689,US
9603,US
34615,ZA
11443,US
35196,US
9312,US
11861,US
10530,US
8391,CA
11448,US
49133,IT
49133,FR
49133,CH
26441,US
9089,US
11010,BE
11010,FR
11010,IT
99040,CA
11359,US
2054,US
19760,US
9536,US
11525,US
40628,US
4482,FR
10634,US
11859,US
20927,US
36929,US
9102,CA
9102,JP
9102,US
124626,DE
124626,US
27526,US
9623,US
46785,IR
400,US
880,NL
880,GB
880,BE
146599,US
8447,GB
8447,US
10534,US
17414,US
2086,US
61548,US
9095,US
12158,US
9283,US
9208,US
40154,GB
406,FR
63076,GB
63076,CA
63076,US
63076,DE
11062,US
13685,US
47475,US
2045,US
9614,US
11907,DE
10874,US
197,US
33542,HK
43566,US
71754,CA
71754,GB
43612,FR
51352,GB
51352,US
51352,NL
16934,DE
16934,FR
16934,GB
10324,US
78406,US
55731,US
32119,CA
11104,HK
37975,IT
73067,GB
73067,US
73067,FR
73067,IE
124636,US
9101,US
123360,US
9302,US
11000,US
249882,HR
249882,CA
249882,US
16388,US
30765,US
10474,US
22279,GB
568,US
11780,GB
11780,US
414,GB
414,US
649,FR
649,IT
5894,US
1775,CA
1775,US
8839,US
20649,US
10329,US
26564,US
8068,US
8512,US
1572,US
13552,FR
13552,US
9073,FR
9073,US
10428,US
17447,US
9886,CA
9886,US
9482,US
19326,US
9344,US
9071,US
8973,US
15730,CA
47608,US
2293,US
9070,JP
9070,US
68274,GB
68274,US
48787,DE
48787,RU
48787,GB
48787,US
34574,US
1642,US
11472,US
