movie_id,genre_id
8844,12
8844,14
8844,10751
31357,35
31357,18
31357,10749
11862,35
949,28
949,80
949,18
949,53
45325,28
45325,12
45325,18
45325,10751
9091,28
9091,12
9091,53
710,12
710,28
710,53
9087,35
9087,18
9087,10749
12110,35
12110,27
21032,16
21032,12
21032,10751
10858,36
10858,18
1408,28
1408,12
524,80
524,18
4584,18
4584,10749
5,80
5,35
9273,80
9273,35
9273,12
11517,28
11517,35
11517,80
8012,35
8012,53
8012,80
1710,18
1710,53
22832,28
22832,80
22832,53
12665,18
12665,14
12665,878
12665,53
451,18
451,10749
9263,35
9263,18
9263,10751
17015,18
17015,10749
902,14
902,878
902,12
37557,18
37557,80
9909,18
9909,80
63,878
63,53
63,9648
78802,10749
78802,12
47018,36
47018,18
47018,10749
687,18
139405,12
139405,36
139405,18
139405,10751
33689,35
33689,10751
33689,10749
9603,35
9603,18
9603,10749
34615,18
11443,28
35196,18
35196,10749
9312,28
9312,14
11861,18
11861,10749
10530,12
10530,16
10530,18
10530,10751
8391,18
8391,10749
11448,35
11448,10749
49133,18
49133,10769
26441,28
26441,12
26441,35
26441,10751
9089,35
9089,18
9089,10749
11010,35
11010,18
11010,10749
99040,53
99040,18
99040,9648
11359,12
11359,10751
11359,14
2054,10402
2054,18
2054,10751
19760,35
19760,10749
9536,35
11525,28
11525,878
40628,18
40628,10751
4482,35
4482,10749
10634,35
11859,28
11859,53
11859,10749
20927,18
20927,10749
36929,35
36929,10751
9102,27
9102,878
124626,99
27526,18
27526,53
9623,18
9623,53
46785,10751
46785,18
400,18
400,80
880,18
880,35
146599,10749
146599,18
8447,18
8447,10749
10534,28
10534,18
17414,12
17414,35
17414,10751
2086,80
2086,18
2086,53
61548,18
9095,18
9095,27
9095,53
9095,10749
12158,35
12158,27
12158,10749
9283,35
9283,18
9283,10749
9208,28
9208,12
9208,18
9208,53
40154,35
406,18
63076,99
11062,18
11062,53
13685,35
13685,80
13685,18
47475,35
47475,10749
2045,18
2045,9648
2045,878
2045,53
9614,35
11907,18
11907,35
11907,10751
10874,28
10874,35
10874,10402
10874,10751
10874,12
197,28
197,18
197,36
197,10752
33542,80
33542,28
33542,35
33542,53
43566,18
43566,53
71754,18
43612,35
51352,99
51352,18
51352,10769
16934,35
16934,80
16934,18
10324,35
10324,10749
78406,35
78406,18
55731,28
55731,12
55731,35
55731,18
55731,10751
32119,18
11104,18
11104,35
11104,10749
37975,18
37975,10749
110972,35
110972,10749
73067,18
73067,10749
73067,10752
124636,10402
124636,99
9101,35
123360,99
9302,18
9302,10749
11000,35
249882,18
16388,35
16388,18
16388,10749
30765,28
30765,12
30765,18
30765,10751
10474,18
10474,80
22279,10749
22279,18
22279,35
568,18
11780,12
414,28
414,80
414,14
649,18
649,10749
1873,18
1873,53
5894,35
1775,28
1775,35
8839,14
8839,35
8839,10751
20649,9648
20649,80
20649,18
10329,28
10329,12
10329,18
10329,9648
10329,878
10329,53
26564,99
8068,53
8068,28
8068,80
8512,80
8512,53
1572,28
1572,53
13552,28
13552,35
13552,80
13552,18
259209,18
259209,80
9073,12
10428,28
10428,80
10428,53
10428,18
17447,35
17447,18
17447,10749
9886,12
9886,28
9886,18
9886,878
9886,53
9482,878
19326,35
19326,18
9344,18
9344,80
9071,18
9071,35
8973,9648
8973,27
8973,53
15730,35
15730,18
47608,18
47608,10751
47608,10749
2293,10749
2293,35
9070,28
9070,12
9070,878
9070,10751
9070,14
68274,35
68274,18
68274,10749
48787,53
34574,27
34574,53
1642,80
1642,18
1642,9648
1642,53
1642,28
11472,10749
11472,35
36196,35
11980,14
11980,27
11980,53
28007,53
10802,18
10149,35
10149,18
18402,35
9348,878
9348,27
9348,28
139408,18
281,80
281,18
281,878
281,53
5967,18
5967,10749
79593,53
47939,18
47939,14
36834,18
36834,10749
9090,35
3512,28
3512,53
52856,35
52856,18
52856,10751
77350,99
9560,18
9560,10749
9804,28
9804,12
31611,18
65796,28
65796,37
39946,18
26258,12
26258,28
26258,35
26258,80
26258,10751
50797,18
19155,18
19155,10752
76,18
76,10749
11017,35
13078,18
9382,35
9382,18
18256,53
18256,18
18256,27
18256,9648
22625,18
22625,10751
22625,10749
2292,35
1909,10749
1909,18
1909,35
8984,18
8984,53
8984,80
8984,9648
8984,10749
4954,28
4954,12
4954,53
62488,80
62488,35
62488,14
10531,18
10531,53
10531,9648
11929,80
11929,18
11929,9648
8467,35
10451,35
10451,18
10451,10749
20156,18
20156,9648
18395,35
18395,80
18395,53
522,35
522,18
522,36
397,35
397,10749
10525,35
10525,18
10525,10749
27985,28
27985,12
27985,18
27985,10751
15789,10749
15789,16
15789,10751
15789,35
15789,12
27303,18
27303,53
21183,18
21183,10751
21183,14
10954,36
10954,18
43475,14
43475,16
43475,878
43475,10751
72031,18
72031,28
72031,53
72031,80
14275,99
17207,35
17207,10751
13701,18
13701,10402
13701,10749
14819,35
14819,10751
14819,18
11777,35
11777,18
11777,10749
87729,18
87729,10749
18713,35
18713,80
6280,35
6280,10751
6280,10749
9061,28
9061,18
9061,9648
9061,53
37108,12
37108,14
37108,35
37108,878
37108,10751
11,12
11,28
11,878
49980,18
17961,80
17961,18
18183,18
18183,10749
4476,12
4476,18
4476,10749
4476,10752
11008,12
11008,35
11008,10751
47504,28
47504,18
32325,80
32325,18
28313,18
11318,35
11318,18
11318,36
8986,35
8986,10749
17402,35
17402,10749
38722,35
38722,18
8438,80
8438,18
1945,18
1945,53
39310,80
39310,18
109560,28
109560,53
109560,80
109560,18
56428,27
63105,878
63105,28
63105,53
131957,18
131957,10749
9058,35
9058,10749
527,18
18220,18
18220,10749
18220,53
6950,28
6950,18
6950,878
6950,53
63020,35
63020,18
63020,10749
2307,35
2307,18
2307,10749
680,53
680,80
15159,35
15159,9648
25296,35
25296,18
40156,18
40156,10749
11450,36
11450,18
30304,18
30304,36
10452,18
10452,36
12106,28
12106,37
161495,18
161495,35
3586,18
3586,35
108,18
108,10402
108,9648
109,35
109,18
109,9648
159185,18
36357,35
36357,10751
36357,10770
28033,35
28033,18
22586,16
14334,18
14334,10751
14334,14
2636,28
2636,53
2164,28
2164,12
2164,878
278,18
278,80
9905,80
9905,53
87078,18
87078,53
12527,35
12527,18
20306,80
20306,35
36614,35
36614,18
36614,10749
27993,35
31439,18
31439,10749
31439,10752
9059,27
9059,35
9059,53
193,878
193,28
193,12
193,53
25066,80
25066,27
25066,53
46797,18
46797,10749
11381,35
32636,18
32636,10749
36141,53
36141,80
1587,10749
1587,18
9271,28
9271,80
9271,878
9271,53
2064,35
2064,18
2064,10749
60855,35
60855,10749
236,18
236,35
236,10749
48287,35
48287,18
48287,10751
3049,35
3049,9648
2759,18
2759,35
12635,18
12635,10402
10497,53
10497,18
10497,10749
11382,28
11382,35
11382,53
9331,28
9331,18
9331,53
10731,18
10731,53
10731,80
10731,9648
10464,35
10464,18
10464,10751
10464,10749
34152,35
34152,18
9495,14
9495,28
9495,53
29973,18
888,14
888,35
888,10751
13,35
13,18
13,10749
712,35
712,18
712,10749
16295,10749
16295,18
16295,80
48992,35
48992,18
48992,10749
10879,28
10879,35
10879,10749
10660,35
10660,18
10660,10749
41647,99
8587,10751
8587,16
8587,18
1689,18
1689,36
11596,27
11596,53
11596,9648
11596,14
9359,28
9359,12
9359,35
9359,18
9359,37
23333,18
36593,35
36593,80
12280,35
12280,18
2788,18
10427,80
10427,18
10427,53
11011,35
11011,10751
49803,18
8987,28
8987,12
8987,80
8987,53
1637,28
1637,12
1637,80
15128,35
15128,10749
8831,53
8831,878
8831,28
8831,80
36955,28
36955,53
10449,18
10449,10749
10395,14
12160,18
12160,28
12160,37
52038,35
52038,18
29444,35
29444,18
26352,28
26352,35
26352,80
41580,18
315,28
315,80
22067,80
22067,18
22067,10749
18242,16
18242,878
11667,28
11667,12
11667,53
28732,28
28732,12
28732,80
28732,18
28732,53
42981,99
19661,9648
19661,53
316098,99
8011,28
8011,14
8011,878
2654,27
2654,9648
2654,53
18069,18
18069,10749
19092,80
19092,18
2758,27
2758,35
2758,10751
2758,14
10436,18
10436,10749
13595,35
13595,80
13595,10402
46094,35
46094,10751
9409,28
9409,35
11853,10749
11853,37
11041,35
306,28
306,35
306,80
178,18
178,28
178,53
19819,18
57834,18
57834,10749
18215,18
18215,10749
1607,18
1607,80
26391,35
6075,28
6075,80
6075,18
6075,53
11310,28
11310,35
11310,18
11310,37
18658,35
18658,53
18658,9648
9350,28
9350,12
9350,53
9612,35
9612,878
9612,10751
2124,10749
2124,53
26261,28
26261,35
26261,10751
19176,37
19176,28
19176,35
11566,35
9571,35
9571,18
9739,80
9739,28
9739,878
24257,99
34444,37
34444,18
34444,35
34444,10749
26141,35
10997,18
50463,18
50463,35
50463,10749
20239,35
16297,35
16297,18
18551,18
18551,9648
18551,10749
25440,35
25440,53
25440,9648
25440,10749
25440,10769
9024,35
9024,10749
37233,18
37233,9648
37233,53
1634,10751
1634,12
13815,80
13815,18
13815,53
35588,36
35588,28
35588,18
35588,37
18620,18
18620,10749
41006,35
41006,18
4916,18
4916,53
2019,28
2019,12
2019,80
2019,53
31642,36
31642,10752
31642,28
31642,18
9255,28
9255,35
9255,10752
26271,35
10612,18
10612,35
10612,10749
2259,10749
2259,18
16097,35
11934,35
11934,18
106143,35
106143,18
12475,35
9386,28
9386,18
