id,company_name
95344,Alberta Film Development Program of the Alberta Government
95343,Milestone Entertainment
58249,Resident Evil Productions
95290,Academy Film
2412,Column Productions
2054,Ruby Films
3751,red bone
10444,Imamura Productions
20244,Kudos Film and Television
34999,Bauer Martinez Studios
3587,I Could Never Ltd.
2088,NALA Films
859,Saga Film
10880,Yuma
4385,Good Night Productions
4384,Tempesta Films
764,Polaris Film Productions & Finance
702,3L Filmproduktion GmbH
13817,Brass Hat Films
2988,Voice Pictures
23956,Rogue Films
12138,Fierce Entertainment
52060,Duly Noted
20754,W B I Films
12246,MDBF Zweite Filmgesellschaft
2612,Les Productions du Trésor
11348,Motion Picture BETA Produktionsgesellschaft
1620,Nuyorican Productions
96084,Rough Draft Feature Animation
4674,The Film Company
3097,HDNet Films
3135,Furst Films
24992,Sandline Production
22676,Dagsljus Filmequipment
22675,Arion Communications Ltd.
18843,Soundchef Studios
11682,TV2 Norge
2802,TV4 Sweden
2800,AMC Pictures
27103,Imaj Sound Post Production
823,Telepool
42829,Captivity Productions
21897,Foresight Unlimited
22826,Hasbro Studios
20011,SprocketHeads
1982,MBF Erste Filmproduktionsgesellschaft
49326,Underground
38,Zespół Filmowy TOR
86083,Virgin Benelux
11845,Wintergreen Productions
1014,Target Media Entertainment
1012,Parabolic Pictures
17606,Sam
45194,Rodriguez International Pictures
4251,Anagram Pictures Inc.
2818,SBS Independent
9987,Lipsync Productions
1435,Left Turn Films
87838,Ursa Major Films LLC
12691,DMK Mediafonds International
25489,RTE
52072,Samwilla Productions
52071,Sleeping Marmots Production
3847,Shaler Entertainment Pictures
10890,Koan Films
785,Sociedad General de Cine S.A.
2690,Screen Yorkshire
12050,Paprika Film Partners
89895,Limbo Productions
713,Nu Image Entertainment
84482,Songbird Pictures
3763,Independent Digital Entertainment
2363,Cold Spring Pictures
22436,Pronto Film
57206,Xuxa Producciones S.L.
739,Anomaly Entertainment
490,New Regency Productions
19965,Chime Films
73971,Revolution Dream Productions
865,Motel Films
57629,The Australian Film Finance Corporation
57628,Babcock & Brown
57626,April Films
3310,Tulos Cinema
70995,Imagi Production
30900,Mirage Studios
3463,Imagi Animation Studios
5176,Fortress Features
11708,Madison 23
3800,Sunlight Productions
35803,Scamp Film and Theatre Ltd.
5461,De Angelis Group
